item	itemLabel	pic
http://www.wikidata.org/entity/Q457327	Maxus	http://commons.wikimedia.org/wiki/Special:FilePath/Foguete%20Maxus.jpg
http://www.wikidata.org/entity/Q791480	Blue Steel	http://commons.wikimedia.org/wiki/Special:FilePath/Blue%20Steel%20missile.png
http://www.wikidata.org/entity/Q1144839	R4M	http://commons.wikimedia.org/wiki/Special:FilePath/R4M%20AT%20version.jpg
http://www.wikidata.org/entity/Q1364106	A-002	http://commons.wikimedia.org/wiki/Special:FilePath/Apollo-%20Little%20Joe%20II%20Liftoff%20%28December%208%2C%201964%29%20-%20cropped.jpg
http://www.wikidata.org/entity/Q1366534	Nimrod	http://commons.wikimedia.org/wiki/Special:FilePath/Paris%20Air%20Show%202007-06-24%20n27.jpg
http://www.wikidata.org/entity/Q1367433	A-004	http://commons.wikimedia.org/wiki/Special:FilePath/Little%20Joe%20II%20A-004.jpg
http://www.wikidata.org/entity/Q1419024	Rubis	http://commons.wikimedia.org/wiki/Special:FilePath/VE%20210%20Rubis.svg
http://www.wikidata.org/entity/Q2881182	Q2881182	http://commons.wikimedia.org/wiki/Special:FilePath/Goddard%20Rocket%20With%20Turbopumps%20-%20GPN-2002-000140.jpg
http://www.wikidata.org/entity/Q3031336	RP-3	http://commons.wikimedia.org/wiki/Special:FilePath/3%20in%20RP%2060%20pdr%20Loading%20On%20Typhoon.jpg
http://www.wikidata.org/entity/Q3196199	Kholod	http://commons.wikimedia.org/wiki/Special:FilePath/Kholod.jpg
http://www.wikidata.org/entity/Q4402870	S-21 rocket	http://commons.wikimedia.org/wiki/Special:FilePath/Missile%20S-21M%202009%20G1.jpg
http://www.wikidata.org/entity/Q5597534	Grasshopper	http://commons.wikimedia.org/wiki/Special:FilePath/Spx%20Grasshopper%2003.jpg
http://www.wikidata.org/entity/Q5882135	Q5882135	http://commons.wikimedia.org/wiki/Special:FilePath/Dr%20Robert%20Goddard%20%28GSFC%2020171208%20Archive%20e002223%29.jpg
http://www.wikidata.org/entity/Q6119291	Kosmos-1	http://commons.wikimedia.org/wiki/Special:FilePath/Kosmos%20rocket.jpg
http://www.wikidata.org/entity/Q6713957	M8	http://commons.wikimedia.org/wiki/Special:FilePath/T-34-rocket-launcher-France.jpg
http://www.wikidata.org/entity/Q6948727	Mysorean rockets	http://commons.wikimedia.org/wiki/Special:FilePath/Rocket%20warfare.jpg
http://www.wikidata.org/entity/Q7073104	OTRAG	http://commons.wikimedia.org/wiki/Special:FilePath/OTRAG%20rocket%20concept%20shape-02.jpg
http://www.wikidata.org/entity/Q7907157	VLM	http://commons.wikimedia.org/wiki/Special:FilePath/Ve%C3%ADculo%20Lan%C3%A7ador%20de%20Microssat%C3%A9lite.jpg
http://www.wikidata.org/entity/Q11691397	Conestoga 1620 METEOR mission	http://commons.wikimedia.org/wiki/Special:FilePath/Conestoga-1620.jpg
http://www.wikidata.org/entity/Q11732882	KAN-1	http://commons.wikimedia.org/wiki/Special:FilePath/KAN-1%20Little%20Joe%20missile%20at%20Point%20Mugu%20c1945.jpg
http://www.wikidata.org/entity/Q11867925	Juno	http://commons.wikimedia.org/wiki/Special:FilePath/Juno-1%20explorer-2.jpg
http://www.wikidata.org/entity/Q22671470	Orion (rocket stage)	http://commons.wikimedia.org/wiki/Special:FilePath/RS-68%20rocket%20engine%20test.jpg
http://www.wikidata.org/entity/Q25352102	PL-10	http://commons.wikimedia.org/wiki/Special:FilePath/J-20%20fighter%20%2844040541250%29%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q27861594	Roton	http://commons.wikimedia.org/wiki/Special:FilePath/Roton-overall-backlit.jpg
http://www.wikidata.org/entity/Q64846198	Q64846198	http://commons.wikimedia.org/wiki/Special:FilePath/KSC-20190624-PH%20KLS01%200056.jpg
http://www.wikidata.org/entity/Q64918232	Q64918232	http://commons.wikimedia.org/wiki/Special:FilePath/Arabsat-6A%20Mission%20%2840628442293%29.jpg
http://www.wikidata.org/entity/Q66682103	Q66682103	http://commons.wikimedia.org/wiki/Special:FilePath/Arabsat-6A%20Mission%20%2840628442293%29.jpg
http://www.wikidata.org/entity/Q67636075	Q67636075	http://commons.wikimedia.org/wiki/Special:FilePath/%22Soyuz%22%20launch%20vehicles%20model%20series%20on%20MAKS-2021.jpg
http://www.wikidata.org/entity/Q80299397	Q80299397	http://commons.wikimedia.org/wiki/Special:FilePath/KSC-20191205-PH-AWG02%200008.jpg
